timestamp,tweet_text,username,followers_count
2020-06-03 11:29:40,"b""@PiyushGoyal @narendramodi No country was prepared for Corona virus but India has done good work after having big population. No country is perfect their are cases where facilities are not reached but government has done good work. It's good that in central their is BJP government not Congress.""",b'Prashan16940118',370
2020-06-03 11:29:37,"b'@latestly This bugger is a kalanka in BJP, @BSYBJP plz take action,  CC @narendramodi'",b'BlrDrone',92
2020-06-03 11:29:03,b'@narendramodi @BJP4India @DelhiPolice How shamefully BJP is playing this again and Indian Judicery/Police are behaving as puppet. Entire Riot was instigated by BJP leaders yet they are free. @ndtvfeed @thewire_in @Telegraph   https://t.co/TKImUR38KV',b'Zack66900959',1
2020-06-03 11:28:58,"b'@KishoreVaid @ProsaicView @Sanju_Verma_ @narendramodi The point is we all voted for bjp because we were fed up with congress rule and we believed in the dream shown by bjp leaders. And now the problem is "" sapan mera toot gaya"".'",b'snmukherjee01',24
2020-06-03 11:28:19,b'Shame on you @PrakashJavdekar !  Shame on @BJP4India ! Is this why we support and vote for BJP ?  @AmitShah @narendramodi @AmitShahOffice @narendramodi_in  @myogiadityanath @JPNadda https://t.co/2HP3Gk1YKH',b'_dharam_vir',23138
2020-06-03 11:28:06,b'@chitranayal09 @nrajabpcl @KSMANN @nair_hena @ArunDeshpande20 @swetamishraa @Anil_J_INDIA @Dr_MR_Satapathy @Anju1951Purohit @narendramodi @majorgauravarya @desertfox61I @SoniaGurnani19 @ParasKGhelani @shitul905 @LevinaNeythiri @savitha_rao @MajorPoonia @sangitaRchopra @Richa_Anand73 @ModiBrigade_Ind @dhaval8456 @lakshmianand96 @OnlineRajan__ @Hamara_Desh @Ramesh_BJP @GauravModified @NationalistIn14 @meenakshisharan @aprnh19 @namoArunima @Pankaj_NaMo @0mNam0 @pn906 @drrajinder1984 @AbhinandanKaul @Bobbyamit76 @mahendra3 @rajagopalan8 @naturaize @dauntingsh @SortedEagle @Sowmiya07939778 @mohana5121966 @anilp68 @Manishapangark1 @Stuti8220 @tmmenon @souindia @Wangchuk66 Very true!',b'Sonam_Chaudhri',5538
2020-06-03 11:26:04,"b'@narendramodi sir in kerala, have a very good human being, good beaurocrat, curruption free lead officer Mr Jacob thomas IPS, retaired recently may be utilised in central position, who may enhance the fame of our nation and our NDA govt, due to my affection with BJP i said this.'",b'aji1971',10
2020-06-03 11:24:41,b'Sorry sir but @narendramodi Modiji face more than this .... when get CM seat so GODHRA HAPPEN ... kutch earthquack happen ... All party &amp; many people in BJP also target him but he is now a PM bcoz he manage all well ... still he face many problem. As PM ... CHATUKARIKA KI HAD HE https://t.co/P5vFooq4gD',b'IamMrugesh',318
2020-06-03 11:24:10,"b""#cancelTSexams #CancelAPexams #Bcoz students aren't well prepared for the exams due to Covid19 pendamic. @KTRTRS @ysjagan @TelanganaCMO @AndhraPradeshCM @narendramodi @trsharish @PawanKalyan @INCIndia @JaiTDP @BJP4India @bandisanjay_bjp""",b'JayanthSanjay',1
2020-06-03 11:24:01,"b'# promote_ jk_students # no_ exams_for jk students NO HIGH SPEED INTERNET NOW WE DEMANDING NO EXAMS PROMOTE ALL JU. COURSES UG, PG PROFESSIONALS @manoj_dhar@ kansalrohit6 DrRPNishank@ AtlafBukhari BJP@4Jnk ANkitsh2525 @narendramodi  @Neerajkundan  @ThusooVinay  @ndtv @DDNewslive'",b'Sonika223',9
2020-06-03 11:23:56,b'No exams until we get vaccine. No cure no exams. @PawanKalyan  @KTRTRS  @ysjagan  @ncbn  @narendramodi  @bandisanjay_bjp  #CancelTSExamsPromoteStudents',b'Shashank__bandi',11
2020-06-03 11:19:52,"b""@narendramodi Only BJP become Atamnirbhar through electoral Bond's.""",b'AjitMis78823659',117
2020-06-03 11:19:48,b'Cancel the exams and promote students to next semester Bcoz students all are to facing problems #CancelTSExamsPromoteStudents @KTRTRS @trspartyonline  @bandisanjay_bjp @JanaSenaParty @PawanKalyan  @trsharish @narendramodi  @GKamalakarTRS @jntuhupdate @JNTUHTSJAC @revanth_anumula',b'SampathPatel6',4
2020-06-03 11:19:24,b'Reach for the Stars: BJP Govt sets up an Empowered Group of Secretaries and Project Development Cells to harness the opportunities presented by the changing world order. #InvestInIndia  @narendramodi @narendramodi_in @PMOIndia @makeinindia @investindia',b'ParasKGhelani',7167
2020-06-03 11:17:05,b'#\xe0\xa4\xb9\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xbe_\xe0\xa4\xb8\xe0\xa4\x82\xe0\xa4\x95\xe0\xa4\xb2\xe0\xa5\x8d\xe0\xa4\xaa_\xe0\xa4\x86\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xad\xe0\xa4\xb0_\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 The BJP government at the Center is doing policy reforms to accelerate investment. @BJP4India @AmitShah @blsanthosh @MaheishGirri @narendramodi @JPNadda',b'Karthikayan1106',159
2020-06-03 11:15:29,"b'#\xe0\xa4\xb9\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xbe_\xe0\xa4\xb8\xe0\xa4\x82\xe0\xa4\x95\xe0\xa4\xb2\xe0\xa5\x8d\xe0\xa4\xaa_\xe0\xa4\x86\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xad\xe0\xa4\xb0_\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 The BJP government is providing support to the poor, farmers and migrants. The Sambal scheme of the BJP government is empowering us. @BJP4India @AmitShah @blsanthosh @MaheishGirri @narendramodi @JPNadda'",b'Karthikayan1106',159
2020-06-03 11:15:28,b'@BJP4India @narendramodi \xe0\xa4\xb2\xe0\xa5\x87\xe0\xa4\x95\xe0\xa5\x80\xe0\xa4\xa8 Corruption aur BJP ye SYNONYMS Hai Na .',b'RAJMANYARAJSHRE',373
2020-06-03 11:15:23,b'We are fortunate to have a leader who does not believe in departmentalism but instead believes in working together in harmony for the good of the nation. BJP Govt forms EGoS and PDCs. #InvestInIndia  @narendramodi @narendramodi_in @PMOIndia @makeinindia @investindia',b'ParasKGhelani',7167
2020-06-03 11:13:35,"b'@GautamGambhir We all are awaiting for the report card of BJP and @narendramodi for the last 6 years. All time high unemployment, maximum farmers/jawans death, increased crime against women and rapes as well, Nirav, Mehul and few more out of India, all time high fuel and gas. Awaiting the card'",b'MKGandhi02Oct',61
2020-06-03 11:10:14,b'@TapanP1957 @PrakashJavdekar @rsprasad @narendramodi @MIB_India @HRDMinistry Statistics of last 6 years will show Hindus suffered more in BJP raaj than Congress..',b'Liberal51601607',57
2020-06-03 11:09:08,"b""@Arnab5222 @narendramodi Abbey  Chu*iye arnab terrey jaissey Dall*y k pass akal hai, sawal ye puch na chahiye ki pichley 6 sallon may ye gov. Nay Kiya kya, ab jab full governance BJP ki hai to sawal bhi unsey pucheyga na but u don't have guts to ask this question to BJP.  U r nothing but just an asshole.""",b'Haqsahab3',1
2020-06-03 11:09:04,b'YR HON PRAYED 2 DIRECT HON CM&amp;SUNIL BANSAL GEN SEC BJP 2 ENSURE COMPLIANCE @ YR HON DIRECTION DT 19/6/18 4 REGULARISATION OF SERVICE@ CONTINUITY&amp;RELEVANT SENIORITY@ HIGH COURT ORDER HON CM FAIL 2 COMPLY@ PMO DIRECTIVE TILL DT @narendramodi @PMOIndia @GovernorofUp @myogiadityanath https://t.co/TX1ilr0Auv https://t.co/EjQw8F3oqn',b'Alpanakakkar64_',3
2020-06-03 11:07:59,b'@NavyaKrishnaG @AnilksharmaP @BJP4Telangana @narendramodi @BJP4India BJP IT cell',b'shekarcm2',223
2020-06-03 11:07:41,b'BJP Govt\xe2\x80\x99s decision to set up an Empowered Group of Secretaries and Project Development Cells will not only support India\xe2\x80\x99s zeal towards self-reliance but will also boost the economy manifold.#InvestInIndia  @narendramodi @narendramodi_in @PMOIndia @makeinindia @investindia',b'ParasKGhelani',7167
2020-06-03 11:07:11,b'@itsmytwt_id @BJP4Telangana @narendramodi @BJP4India in BJP app and automatically goves in favour of Modi',b'shekarcm2',223
2020-06-03 11:06:59,b'@narendramodi Time for Telangana to agitate again for freedom from @KTRTRS family ruling under the leadership of @bandisanjay_bjp . @AmitShah @JPNadda Delhi should support the state BJP in this fight for justice.',b'ksreddy21',171
2020-06-03 11:06:16,b'SIR UP BJP GOVT MOCK YR HON INDEPENDENCE DAY ANNOUNCEMENT OF EASE OF LIVING@ ILLEGALLY HOLDING BACK REVISION OF MY FAMILY PENSION SINCE 7/6/17 CURTAIL CONSUMPTION ABETTING SLOW DOWN PRAYED 2 DIRECT HON UP CM 2 RELEASE FAMILY PENSION ARREAR @narendramodi @PMOIndia @myogiadityanath https://t.co/wdmVr9A2YZ',b'GIRDHARILALKAK2',2
2020-06-03 11:05:21,b'Progress with BJP: Empowered Group of Secretaries and Project Development Cells set up to attract investments in India. #InvestInIndia  @narendramodi @narendramodi_in @PMOIndia @makeinindia @investindia',b'ParasKGhelani',7167
2020-06-03 11:04:26,"b'I think next CM of Bihar will be form BJP and CM face from BJP should be Sri @rsprasad . I think he is the man can bring industry in Bihar. #industriesinbihar  #aajtak  @AmitShah @narendramodi please do something for people of Bihar, please give industry.'",b'PriyanjanK',0
2020-06-03 11:03:13,b'Reception function of New State president Prof. S Tikendra singh of BJP Manipur pradesh at state head office Canchipur. #BJP4Manipur @blsanthosh @NBirenSingh @dushyanttgautam @prahladspatel @narendramodi https://t.co/FDMONlWrSi',b'KInaochaDevi',1199
2020-06-03 11:02:24,b'Sharing a picture of @narendramodi Ji on #WorldBicycleDay.@rammadhavbjp @blsanthosh @bandisanjay_bjp @manthriji https://t.co/03cY7AHO3R',b'srikanthyerroll',101
2020-06-03 11:00:53,b'PM speaks to CMs of Maharashtra &amp; Gujarat regarding cyclone situation https://t.co/wSfA2KM9lz via NaMo App https://t.co/7KzTCqaTQ5',b'bjp_arjav',1389
